Region,Review,Rating
East Asia,"Beautifully crafted series. Never read the manga, so I can't comment on how faithful it is. But it has good acting and character development. The cinematography and set designs are beautiful. Good plot that kept me goed al the way through. If you like movies such as Battle Royale, you'll love this show.",10
East Asia,Rationality always wins. I love japanise culture. Only people using their mind survive.,10
East Asia,I dont like this type of genre. But what a show. Thks is superb tv,10
East Asia,I enjoyed this one alot. The dialogue is a bit cliché at times but other than that i love it.,9
East Asia,Only one episode in but hooked. The acting is amazing. The idea is both super interesting and horrifying. A show of smarts. I'd be dead already. Can't wait to watch more.,10
East Asia,"This show has a fun premise with great production. Some episodes are very strong and worth watching, but otherwise, the show is littered with poorly written characters that at times are acted out very stiffly. You can feel the actors going overboard or are poorly acting out a few too many scenes. The plot manages to hold interest but messes up small details that would often leave you face-palming or shaking your head.Overall, the show is a far cry from the 10/10 rating many reviews seem to be giving it... Think of it like a good way to mindlessly pass the time.",7
East Asia,"As someone who's a big fan of the manga, I think the Netflix adaptation does a decent job for anyone trying to find more Alice in Borderland content. However, the devil is in the details, and except for the main story arcs, it's quite different from the original story.Many characters are introduced earlier than expected, and some games have changed concepts entirely. Certain story beats are shuffled around or erased. In addition, Arisu participates in several games that he wasn't part of originally. I would have to say to avid fans of the manga to watch this series pretending you have no prior knowledge unless you like to be disappointed. But by itself, it was spectacular to watch this interpretation of Alice in Borderland.",7
East Asia,"Top Notch Seat Edge Thriller !!
Cinematography & Soundtracks Are Mind-blowing!!
If You Are Thriller Fan , Then Watch it!",10
East Asia,Awesome survival game series. I was waiting for this type of series. Great acting and decent effects. and fun to watch.,10
East Asia,"Great production without long tirades, I still gave 10 stars as I look forward to the rest.",10
East Asia,"Watched a lot of films and serie. And I can tell you ""This was so awesome""!!! they did play with my heart when I watched the full serie. I really thought I was with them the hole time it felt so real. #Thank you #curious & exited for season 2-Stephaniesx314",10
East Asia,"The first few episodes felt fresh and exciting, but dipped in the middle and I kept hoping for the latter episodes to reach a climax and in parts it seemed like it was on the way there, but then kind of fell flat in the end.The plot itself isn't bad at all and definitely binge worthy, but can't rate higher than 6 because of terrible acting. Cringey and awkward all round. I've seen some of the actors in other films/dramas and I know they can do much better, so I assume the fault lies with the director himself.",6
East Asia,"If you love the concept of a show revolving around games of life or death this is for you. Think of the Escape Room or Saw movies, but inspired by Alice in Wonderland. I wonder give you more but tye show is best not knowing anything going in. I guaranteed you will not be able to wait for Season Two. Oh God Netflix don't cancel this after one season. My heart would break. I highly recommend it.",10
East Asia,The plot of thus show is great you never new what will happen in the show,10
East Asia,"The story is great, keeps you guessing and it makes you try to figure out what would you do if you were in the games !!! A nice mix of battle royal , saw , scape room and of course the analogy to Alice in wonderland. A must watch show",10
East Asia,"Oh man, this is nuts, probably the best tv show I've watched in 2020. when I first heard about this series I was excited and also worried. Because in past most manga or anime adaptations were so bad. After watching 1st episode my mind was clear and I know this series going to be epic. Director Sato Shinsuke excellently brought this manga into the real world. The plot is like the mix of hunger games and escape room but Alice in Borderland is much more than those two. In hunger games they just kill each other for survival, escape room there are different games but limited to a building. But in here we have games + open world. it's good if There were more backstory for the character I was interested in. About the acting our protagonist Ryohei Arisu act by Yamazaki Kento he was great in this series, the way he expresses feelings is so natural. I am very impressed with the supporting cast they did an excellent job. There were few uses of CGI and they are good. About Cinematography I loved it, in an episode there two battels in those battels the way they use slow-motion effect is great. This hard R rated show full of valance and blood. I highly recommend this show to watch. Then have a nice ride with Alice in Borderland.",9
East Asia,"This is an amazing show, fantastic, thriller, action, dramatic, everything you can imagine, it's an amazing story and I cant wait for season 2",10
East Asia,"Very intense, many interesting characters, not like: ""I have seen all this a hundred times already."" I can recommend! :)",10
East Asia,"As a manga reader, this series has shocked me and delivered everything perfectly! The storyline exactly follows the original content without anything new or strange. Also, I just thought how crazy it was to how identical the actors looked! The whole show looked so realistic, including the strong emotions and the settings. It was able to touch my heart better than the manga in my opinion. The story progresses very smoothly and has a great balance of the action and character development. It ended perfectly at the right time but also at the same time where I wanted to watch MORE! I was only disappointed when I had to stop at the last episode :[",10
East Asia,"This was the most fantastic display of absolute and utter nonsense, that I've seen in a long while. It's hard to pick which was worse; the acting, the writing, the directing or the storyline - I believe in the end, it was a magical combination of total lack of talent in all areas, that made this cringe-fest so painfully entertaining to watch.It's like it was written by someone who's never witnessed human interaction before and performed by androids who lack the full programming to be able to pass as actual humans. The dialogues are so bizarre and the directing makes you scratch your head and wonder if the person in change is a toddler or a golden retriever, maybe. Nothing in this production makes any sense, and I'm amazed I managed to suffer through it all. It would absolutely blow my mind if this trash got renewed.",1
East Asia,"I m now one ep left. The game is good. We get to know some background, the logic stands. Its believable.
Some hundreds of people awake in different parts of a big city as the only inhabitants. After a while it seems that the whole city is controlled so that they regulary play survival games: betray or be dead, logic escape rooms, sports rooms etc. Refuse and die. loose and die. after winning you get on the phone, everyone get one at each game, rewards: 3 says to live. or 9. you get the point. you can live only by playing.
the games are classified each by a playing card: hearts, for ex., are tough. means you only live by betraying a team mate. difficulty is obvious: from one to 10. until now nobody has seen a figure card.
when we get there with this group, youll see, there is already players and a hotel named ,,beach,, where something like a state or mob is installed. the leaders, the muscles(actually, guns) and the plebs. they figured that gathering the whole pack of card will allow one of the a free pass, a visa to the normal world.
the game gets tougher.
a good show. enterteining.",8
East Asia,"Don't let the criticism/hate get to you and just Ignore the low ratings and watch and judge for yourself. Personally I enjoyed the series! As a manga reader and anime watcher I definitely think they did a decent job with this series in most aspects. Though it is not exactly the same as the manga in some parts it still manages to keep the thrill of it. Yes this concept of escape room and survival of the fittest is used a lot, But trust me this series was super interesting and kept my family of all ages entertained. Hopefully they don't cancel this and will release a 2nd season! Don't sleep on this masterpiece.",10
East Asia,"While the game premise may be not new, the series is still interesting from start to finish. Despite relatively short series and many characters, able to build up interesting backstories for some of the characters very well with great effect on viewer's emotion.
The sound track and acting are good. CGI is great for TV series. So grateful to make this live TV.
Please note I haven't read manga, haven't even heard of this series before. The cliffhanger ending makes me want for season 2. I finished watching this in 24 hours. Definitely recommended!",10
East Asia,Surprisingly very good. Definitely watch. I was only going to watch one and ended up watching them all.,9
East Asia,"* First, this is not for kids! There is a lot of killing throughout the series and some light sex. *If you combined The Purge and The Game you would have Alice In Boarderland! This show is nonstop crazy fun! Hold on to your seat and prepare to binge!",9
East Asia,The best! Hoping Japan will bring more like this to the Netflix! They are the best in Death survivor games and Mind games genre. Seriously I enjoy Watching this series than Money Heist or any other famous series out there.,10
East Asia,This is a really great show to watch that has so many different things to look forward to in each episode with unexpected twists.,10
East Asia,"They were truly able to capture the feeling of the manga.You could feel the anger and sadness from the characters. It still misses a lot of background information about all the characters but what could you expect in a tv series. I loved how they sualized the games from manga to the bigger screen. One of netflix's best manga to live action.
Overal wonderful",10
East Asia,"AMAZING SERIES!
Must watch!
Especially if you like anime/manga!",9
East Asia,"Just finished the series in one sitting and can say that it's a solid binge watch.
The way you get used to the friendship in the first episodes and then suddenly lose them was a very unexpected turn, for some reason it felt like it was too soon and then the influx of new faces felt a little over the top for me.
But overall the series kept the interest and would watch the season 2, if renewed.
The ending definitely assumes the continuation and sort of the most exciting part of the games. Really liked the final scene with huge cards",10
East Asia,"It's really exciting about the first few episodes, the idea is brilliant n sci fic fans surely will love it. But it's becoming quite likely the same for game play to survive....ehhhh patience needed.",5
East Asia,"I thought this would be that kind of movie where magic appears all of a sudden when it comes to the main characters' death (Karube and Chota). It turned out I was wrong. It saddens me, but I'm not disappointed. I think that what makes this series felt so real and intense! Also, great characters, although sometimes they act a little bit off. I really enjoyed watching it and I'm hoping for a second season!",9
East Asia,"We all watch different types of tv shows but some of them gives you a unique experience that you didn't feel it with the others. Well that's what happened to me watching Alice In BorderLand, I really got hooked up with the events that took place and I can't wait to see what happened next. Also since that it was inspired from a manga i was afraid since that a lot of other inspirited work ending up being so trashy especially the Netflix adapted one, but this one proves me wrong the characters are really will fit despite the fact that some of them has been introduced way to early in comparison to its manga. Overall i would really recommend you to watch it this was the first review that i have ever did in imdb, but i really felt like it's necessary to share my opinion on this.",10
East Asia,"This series is so Japanese (and so Tokyo-ish in particular). Characters are transported to another world suddenly, with no explanation. The story flows with all its strangeness and has an open ending (for season 2). The violence, tragedy, and darkness of the series always keep me on edge.
Perfect for binge-watching on the weekend.",8
East Asia,"From the first episode itself, you will be glued to your seat. It is a thriller and will literally keep you on edge until you finish the entire series in one sitting. A must-watch show if you are looking for an addictive series with a unique plot.",10
East Asia,"I was amazed after watching the show. Thriller ,excitement all in one. Soon after i start watching i knew it will be a heck of a shoe. Waiting for season 2",10
East Asia,"Never got bored watching anyway. Brilliant music, camera work etc. I feel like the people putting it down are not being fair on the genre. its not meant to be true to life. Too me it felt like inhabiting the world of a video game at times, which is no bad thing, which is the point of manga, its not meant to be true to life, its life on steroids x 10 (which this is by the way). I also liked the character building a lot. Very much looking forward to season 2, I also finished it in 24hrs.",10
East Asia,"Seriously, I can't stand when there is a good premise that gets done wrong because of stupid plot holes. Spoiler alert. When the Beach game starts, it says there are 58 participants, yet there are WAY more than that, not just a few more, but considerably more people! They literally just had to change a number to make that hole disappear. I hated how the last few episodes played out. I was a firm supporter before the whole beach story started, but then it just snowballed into oblivion. I'm giving it a decent review just because I did enjoy the first few episodes and I don't want to deter people from watching.",7
East Asia,"If you like Squid Games or Battle Royal this a MUST watch for you! Yes you!I really felt the need to submit my review, because you can tell the creators put a lot of love in the series and they deserve all the prais (sorry for the bad English).The series has a little but of a slow start because of the character building, but than imidiatly captures you in a twist you probably would not expect. From than on you will be on the edge of your seat. After that, you are hooked. Cant say anything more than that.All of the characters are interresting. The acting is A+ and the concept(s) are cool and as fresh as can be expected.Have fun watching!",9
East Asia,"Intense & fast paced throughout, but sadly not so much for the last episode. it was all over the place & so much nonsense. 2 girls recording the base, walking around & everyone dont seem to even look at them, did they use invisibility cloak? casually heading to enemy base with no fear nor expecting defense/laser etc.",7
East Asia,Just going to say that I love that they didn't go easy on recreating It to live action. It's so amazing,10
East Asia,"I did read the manga a couple of years ago, and I must say that it really is an accurate representation of the series. Really happy to see so much budget put into the series.",10
East Asia,"I went in after watching the ambiguous trailer and first of all this show is very binge worthy. I will pull you in for entire night. I was hoping this was a limited series but nope, looks like there is going to be a second season.Without spoiling anything, this story starts with three friends getting caught in a simulation type situation which goes in deeper and spreads fast. Each game was designed creatively, in a SAW like fashion where you betray some and sacrifice some. Our lead protagonists are very likeable and worthy of rooting for. They try to give important characters back story which helps us connect.Action scenes are well shot, there is some gore but not at the cost of self gratification. Character representations are tastefully done and plot points are easy to understand yet remain unpredictable to some extent.Kudos to the team, actors, DoP, sound designers, VFX team, writers and production team for such incredible work.Watch it in original language and watch this one for sure.",9
East Asia,"I haven't read the manga yet still enjoyed watching the stories. I really appreciate the effort from director, staffs and the casts in giving their best; I smiled, shocked (because of Niragi and Usagi) and cried (especially in eps 3). And thank you for the smart and amazing stories coming from the mangaka, Aso Haro for making this work, and for Netflix to make this into live action. Can't wait for the second season!",10
East Asia,"After 10 minutes I wanted to quit. There was a messaging conversation going on that took minutes. On a personal note, I hate people who are all day long on their phone.
Fortunately I did not quit. What a story, what a character development act... and good actors. For me, one of the best series of 2020. Looking forward for series 2.",9
East Asia,The pacing is masterful and the execution of the series premise is magnificent. I will be recommending this show to my friends for sure.,10
East Asia,Edge of the seat thriller....first few epicodes are really amazing.... Kudos to the makers... enjoyed every second.,10
East Asia,"I have to admit that the show starts interesting, some teenagers move to an alternate universe where you have to play games in order to survive. It builds up to more complex games and even some of the initial main persons die in the games.But the moment the series move to the beach it becomes ridiculous and completely unbelievable. We have a huge group of good-looking teenage kids walking around in bikini/swim suits (so you can't hide guns...right), partying most of the times. What happend to all the older people they met before they went to the beach? Older people aren't able to find the beach?
The dialogues become really poor and flashbacks silly. Funny it to see that descent acting also drops with it and becomes really poor and some of the (bad) characters become silly stereotypes.To top it in the end-game while all others are simply shot when they object, Arisu just gets beaten up but keeps getting back with more silly arguments and waits with his revelation of the ""murderer"" till the last moment while wasting time on a silly discussion.So the shows starts fascinating, but looses it more and more towards the end...but I guess it will appeal to teenagers...",5
East Asia,"The acting was good just to long with a plot that gets old, not many likable characters in this series and I'm being kind with 6 stars.",6
East Asia,"It's a bit of a common topic that every manga/anime adaptation into live action fails.. I mean none of them have been great so far... This is the best we've been given. For comparisons sake.. watch the first 5 minuets of the netflix 'deathnote' movie..Go have a shower for about 45 mins, take a lot of xanax to forget you saw those first 5 mins and then watch this series..Watch it in Japanses with subs, I didn't bother with the dub but it really was pulpy awesome scifi. Im a total cynic but I know when to turn my brain off and not pick apart things because the core of what I am watching is great.Normal score a solid 7/10 but giving higher because its a successful manga adaptation that isnt terrible",9
East Asia,"Well... acting is a bit bland beside for supporting chracter, background story for each character is too short so that you cant feel why this character doing that.but, im watchin this series after finished the manga, so i know why this character doing something like that.my suggestion, DONT READ THE MANGA!!! you will know background story for this series, and quite plot twist.enjoy this series, after that... you can read the manga to know better!!MUST WATCH!!",9
