Show,Review,Rating
The Witcher,"I did not know that this series was based on books or a game. I watched the trailer and felt it was something I would enjoy watching. After watching the 1st episode I knew it was going to be good and it just got better and better...My only gripe is that until you have watched the 4th or 5th episode do you realise that you are watching 2 storylines The Witchers Past and Future...and then they finally collide into the present. Binge watch it's well worth it., Can't wait for Season 2",9
The Witcher,"I see a lot of terrible reviews because people have no clue what is going on with the weird timelines and ""poor dialogue"". If you actually have the time to read the first two books i highly suggest you read them BEFORE you watch the show. I enjoyed it fully, it was exactly how i imagined it while reading the stories and I believe they did a great job to stay as faithful as they could to the plot. My only remarks would be the fact that dorregaray was not included ( I loved him as a character but it would've added more poor reviews because people that haven't read the books would be even more confused with so many characters appearing out of the blue) and that eyck of densle was clearly not the virtuous strong knight that I remembered. 10/10 nontheless I doubt anyone could've done it better! Can't wait for next season!",10
The Witcher,"The show is very good and adapts well to the books and game, people are just haters when they brought up GoT. Just enjoy the show and have fun with it.",10
The Witcher,"They talking, talking, walking, talking, talking, walking, talking, talking, talking, walking, talking...Who did this lame color grading? Students of second grade of moviemaking University? Did they used HitFilm Express to render this boring stuff? Bad chroma key on the green screen, guys. Booo.",1
The Witcher,"So much random backstory, so much jumping back and forth and I didn't understand what was what... Some parts of the show I still don't understand why was put there or when it was in the timeline, other than that the show is really good. Cavill fits perfectly. I'm certain I will enjoy season 2 much more, now we have the backbone of the story.",1
The Witcher,"Loving it, managed to watch 5 hours worth without even realising.If you liked GoT then give this a watch (it's much better).",10
The Witcher,Not quite sure if I watched the same show as everyone else as I found this to be a real let down. Casting was terrible and if what I read about the production costs are true then it goes to show the higher ups at Netflix have mo money than sense. Could not make it to episode 2. You're supposed to be interested in a show within the first 15/20 minutes but it failed after I forced myself to get through the entire first episode so unless ep 1 is some kind of faux pas I hope the true rating for this show will come down well south of 7/10 where it deserves to be.,2
The Witcher,"While I have only watched the first 3 episodes I feel I can already judge the quality of this TV adaptation of The Witcher.That being said, I believe its beyond ridiculous to rate this show 10/10 as so many have.I have played and completed each of the game titles several times and read the books and their respective short stories. I feel quite comfortable with a 7 and that is really the best this show deserves.I feel you can not compare to game of thrones, nor to Lord of the rings, The hobbit, Harry Potter or Fantastic Beasts and where to find them or any fantasy titles. This story and show is its own and the games did the story the most justice, or rather CD Project Reds telling of it.My first gripe and this was when it was announced, was the cast. I was sceptical at best about Henry Caville as Gerald, but honestly he has surprised me and does a solid job. Many of the other actors cast do not in my honest opinion fit the vision of the games but more so even the idea given in the books...I wont go into much detail here because I am sure many will call me a snob and I can live with the cast easily enough as its really the smallest issue at the end of the day.The show however has a ""cheap"" or rather limited budget feel, while this may or not be the case, the series ends up showing that its by far not the budget of Lord of the rings or any of the names I listed above, still not horrible and they get the effect and vibe mostly down well enough.I am a bit concerned about the timeline of it all, while as far as I have watched the 3 primary stories are that of Gerald, Yennefer and Cirilla (which was mostly true) I feel there is a problem with continuity (at least as far as the 3rd episode goes)Yennefer was established and renowned at the time Nilfgard attacked Cintra and yet we see her only becoming who we know her as when we ""meet"" het the first time in the books or can derive from the games (third game specifically).If there is a disconnect and there is a timeline difference I did not see any sign of it, though I was looking for it. If anything Yennefer is too young (back to first gripe of the casting choices) and yet should meet Gerald soon based alone on what is going on with Cirilla.Cirilla even knew Gerald as a younger child, though this part was left out of the show, which I feel could have been useful as another episode and incorporate more of what and who Gerald is and his relationship to Ciri.So definitely some holes in the story I am not happy about but sure, its TV so I should let it slide...I can go into much more detail and strike up a debate but in a nutshell its not bad, its worth watching and it is so far not too far off the beaten path though does not feel as grand or epic as the impressions I got from the games which simply were fantastic.I will watch the entire series and see how it goes, give all the actors a fair chance to show what they can do, but as far as ratings goes, this is at best a 7 and not at all anything more, which is still more than I can say from many adaptations that came from a game e.g. tomb raider movies",7
The Witcher,"I've not played the game nor read the books but I feel like this is one if the best dark series I've seen for a long time. Okay so cgi is not the best, neither acting nor plot, but it's hard to come by much better these days. I really do like the settings and cinematography, they lend their aesthetics to something resembling very much what it tries to be, a mythic, adventurous almost horror slash gore fantasy, and it does so beautifully.I understand how reviews are conflicted, I can see that people do rank this out of fandom for sure. I guess it's just one of those either you like it or not. I kinda liked it, it's definitely not GoT but then again it never tried to be.",7
The Witcher,"Apparently a lot, as this is nowhere near the quality of GOT....I'm not a fan boy of anything, but this is formulaic from the first episode.
I tried following, but I have no idea what's going on. There's a princess, but she was evil, but she wasn't, so he killed her, so he's a bad man...while another little princess screams alot and runs away. Did that battle happen realtime to the Witcher or in the past?Pass.",3
